match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,homepos,awaypos,injury_time,goal_type,card_type
489155,479140,"possession",352,90,"4",,"55","45",,,
489156,481430,"possession",352,25,,,"60","40",,,
489156,481700,"possession",352,45,"2",,"67","33",,,
489156,482230,"possession",352,70,,,"58","42",,,
489156,482654,"possession",352,90,"3",,"56","44",,,
489157,481436,"possession",352,25,,,"57","43",,,
489157,481721,"possession",352,45,,,"48","52",,,
489157,482276,"possession",352,70,,,"38","62",,,
489157,482684,"possession",352,90,,,"45","55",,,
489158,480587,"possession",352,25,,,"43","57",,,
489158,480748,"possession",352,45,,,"43","57",,,
489158,481034,"possession",352,70,,,"44","56",,,
489158,481320,"possession",352,90,,,"40","60",,,
489159,482207,"possession",352,25,,,"53","47",,,
489159,482588,"possession",352,45,,,"49","51",,,
489159,482837,"possession",352,57,,,"29","71",,,
489159,482956,"possession",352,71,,,"52","48",,,
489159,483231,"possession",352,90,,,"53","47",,,
489160,478377,"possession",352,25,,,"60","40",,,
489160,478560,"possession",352,45,,,"53","47",,,
489160,478909,"possession",352,70,,,"52","48",,,
489160,479108,"possession",352,90,"1",,"55","45",,,
489161,477663,"possession",352,25,,,"47","53",,,
489161,477766,"possession",352,45,,,"51","49",,,
489161,477947,"possession",352,70,,,"55","45",,,
489161,478034,"possession",352,90,,,"57","43",,,
489162,487262,"possession",352,26,,,"59","41",,,
489162,487623,"possession",352,45,"1",,"59","41",,,
489162,488163,"possession",352,72,,,"53","47",,,
489162,488495,"possession",352,90,"3",,"58","42",,,
489163,487241,"possession",352,25,,,"56","44",,,
489163,487573,"possession",352,45,,,"58","42",,,
489163,488115,"possession",352,70,,,"53","47",,,
489163,488438,"possession",352,90,"1",,"53","47",,,
489164,487255,"possession",352,25,,,"47","53",,,
489164,487574,"possession",352,45,,,"50","50",,,
489164,488145,"possession",352,71,,,"47","53",,,
489164,488470,"possession",352,90,"1",,"50","50",,,
489165,489993,"possession",352,26,,,"83","17",,,
489165,490225,"possession",352,45,"1",,"61","39",,,
489165,490684,"possession",352,72,,,"59","41",,,
489165,490909,"possession",352,90,"1",,"55","45",,,
489166,487260,"possession",352,26,,,"54","46",,,
489166,487595,"possession",352,45,"1",,"50","50",,,
489166,488176,"possession",352,72,,,"47","53",,,
489166,488536,"possession",352,90,"1",,"54","46",,,
489167,487202,"possession",352,24,,,"58","42",,,
489167,487546,"possession",352,45,,,"60","40",,,
489167,488119,"possession",352,70,,,"48","52",,,
489167,488457,"possession",352,90,,,"50","50",,,
489168,487237,"possession",352,25,,,"51","49",,,
489168,487592,"possession",352,45,"2",,"55","45",,,
489168,488097,"possession",352,70,,,"52","48",,,
489168,488497,"possession",352,90,"5",,"52","48",,,
489169,486529,"possession",352,28,,,"47","53",,,
489169,486563,"possession",352,45,"1",,"39","61",,,
489169,486664,"possession",352,72,,,"49","51",,,
489169,486763,"possession",352,90,,,"48","52",,,
489170,488676,"possession",352,25,,,"42","58",,,
489170,488711,"possession",352,45,,,,,,,
489170,488786,"possession",352,70,,,"47","53",,,
489170,488877,"possession",352,90,,,"49","51",,,
489171,491519,"possession",352,25,,,"53","47",,,
489171,491750,"possession",352,45,,,"53","47",,,
489171,492178,"possession",352,70,,,"53","47",,,
489171,492425,"possession",352,90,,,"52","48",,,
489172,495472,"possession",352,25,,,"41","59",,,
489172,495863,"possession",352,45,"2",,"43","57",,,
489172,496409,"possession",352,72,,,"48","52",,,
489172,496721,"possession",352,90,,,"53","47",,,
489173,499966,"possession",352,25,,,"50","50",,,
489173,500187,"possession",352,45,,,"45","55",,,
489173,500562,"possession",352,70,,,"69","31",,,
489173,500816,"possession",352,90,,,"56","44",,,
489174,498826,"possession",352,25,,,"47","53",,,
489174,498979,"possession",352,45,"1",,"59","41",,,
489174,499298,"possession",352,66,,,"75","25",,,
489174,499478,"possession",352,90,"1",,"53","47",,,
489175,497164,"possession",352,25,,,"39","61",,,
489175,497290,"possession",352,45,"1",,"40","60",,,
489175,497582,"possession",352,70,,,"42","58",,,
489175,497748,"possession",352,90,"4",,"40","60",,,
489176,495409,"possession",352,25,,,"56","44",,,
489176,495770,"possession",352,45,,,"53","47",,,
489176,496384,"possession",352,72,,,"50","50",,,
489176,496712,"possession",352,90,"1",,"51","49",,,
489177,495416,"possession",352,25,,,"45","55",,,
489177,495789,"possession",352,45,,,"47","53",,,
489177,496382,"possession",352,70,,,"45","55",,,
489177,496727,"possession",352,90,,,"54","46",,,
489178,495423,"possession",352,25,,,"65","35",,,
489178,495811,"possession",352,45,"1",,"57","43",,,
489178,496381,"possession",352,70,,,"53","47",,,
489178,496741,"possession",352,90,"1",,"54","46",,,
489179,495428,"possession",352,26,,,"57","43",,,
489179,495803,"possession",352,45,"1",,"59","41",,,
489179,496387,"possession",352,72,,,"51","49",,,
489179,496726,"possession",352,90,"2",,"55","45",,,
489180,502033,"possession",352,25,,,"45","55",,,
489180,502088,"possession",352,45,,,"44","56",,,
489180,502176,"possession",352,70,,,"48","52",,,
489181,495432,"possession",352,25,,,"66","34",,,
489181,495838,"possession",352,45,"2",,"62","38",,,
489181,496407,"possession",352,70,,,"60","40",,,
489181,496791,"possession",352,90,"4",,"61","39",,,
489182,513163,"possession",352,25,,,"48","52",,,
489182,513224,"possession",352,45,,,"55","45",,,
489182,513297,"possession",352,70,,,"56","44",,,
489183,507191,"possession",352,25,,,"47","53",,,
489183,507509,"possession",352,45,"3",,"51","49",,,
489183,507975,"possession",352,70,,,"53","47",,,
489183,508293,"possession",352,90,"2",,"51","49",,,
489184,510328,"possession",352,25,,,"45","55",,,
489184,510544,"possession",352,45,"2",,"47","53",,,
489184,510993,"possession",352,70,,,"46","54",,,
489184,511442,"possession",352,90,"7",,"51","49",,,
489185,507192,"possession",352,25,,,"50","50",,,
489185,507455,"possession",352,45,,,"56","44",,,
489185,507986,"possession",352,70,,,"50","50",,,
489185,508218,"possession",352,90,,,"56","44",,,
489186,507180,"possession",352,24,,,"44","56",,,
489186,507462,"possession",352,45,,,"46","54",,,
489186,507951,"possession",352,70,,,"62","38",,,
489186,508261,"possession",352,90,"1",,"53","47",,,
489187,509600,"possession",352,26,,,"42","58",,,
489187,509789,"possession",352,45,"2",,"46","54",,,
489187,509983,"possession",352,72,,,"49","51",,,
489187,510293,"possession",352,90,"5",,"49","51",,,
489188,510279,"possession",352,25,,,"61","39",,,
489188,510531,"possession",352,45,,,"57","43",,,
489188,511083,"possession",352,70,,,"52","48",,,
489188,511370,"possession",352,90,,,"53","47",,,
489189,507201,"possession",352,25,,,"55","45",,,
489189,507484,"possession",352,45,,,"54","46",,,
489189,507991,"possession",352,70,,,"56","44",,,
489189,508279,"possession",352,90,,,"53","47",,,
489190,507337,"possession",352,25,,,"45","55",,,
489190,507504,"possession",352,45,"1",,"41","59",,,
489190,507953,"possession",352,71,,,"53","47",,,
489190,508237,"possession",352,90,"1",,"51","49",,,
489191,510966,"possession",352,24,,,"53","47",,,
489191,511289,"possession",352,43,,,"55","45",,,
489191,511797,"possession",352,70,,,"60","40",,,
489191,512018,"possession",352,90,,,"58","42",,,
489192,517093,"possession",352,25,,,"62","38",,,
489192,517176,"possession",352,45,,,"75","25",,,
489192,517489,"possession",352,70,,,"70","30",,,
489192,517588,"possession",352,90,,,"80","20",,,
489193,515559,"possession",352,25,,,"45","55",,,
489193,515892,"possession",352,45,"3",,"49","51",,,
489193,516360,"possession",352,70,,,"54","46",,,
489193,516677,"possession",352,90,"5",,"60","40",,,
489194,521759,"possession",352,25,,,"59","41",,,
489194,521804,"possession",352,45,,,"58","42",,,
489194,521887,"possession",352,70,,,"52","48",,,
489194,521943,"possession",352,90,,,"53","47",,,
489195,519855,"possession",352,21,,,"39","61",,,
489195,520118,"possession",352,41,,,"63","37",,,
489195,520477,"possession",352,61,,,"65","35",,,
489195,520879,"possession",352,90,"1",,"61","39",,,
489196,515581,"possession",352,25,,,"63","37",,,
489196,515876,"possession",352,45,"1",,"60","40",,,
489196,516398,"possession",352,72,,,"54","46",,,
489196,516686,"possession",352,90,"1",,"49","51",,,
489197,515587,"possession",352,27,,,"38","62",,,
489197,515867,"possession",352,45,"1",,"34","66",,,
489197,516611,"possession",352,90,"1",,"41","59",,,
489198,514997,"possession",352,26,,,"52","48",,,
489198,515038,"possession",352,45,"1",,"50","50",,,
489198,515084,"possession",352,63,,,"23","77",,,
489198,515179,"possession",352,90,"2",,"56","44",,,
489199,515569,"possession",352,24,,,"35","65",,,
489199,515887,"possession",352,45,"1",,"47","53",,,
489199,516371,"possession",352,70,,,"43","57",,,
489199,516629,"possession",352,90,,,"46","54",,,
489200,519274,"possession",352,23,,,"51","49",,,
489200,519541,"possession",352,43,,,"56","44",,,
489200,519941,"possession",352,70,,,"52","48",,,
489200,520197,"possession",352,88,,,"46","54",,,
489201,515585,"possession",352,25,,,"41","59",,,
489201,515875,"possession",352,45,,,"49","51",,,
489201,516414,"possession",352,70,,,"49","51",,,
489201,516647,"possession",352,90,,,"52","48",,,
489202,526865,"possession",352,25,,,"56","44",,,
489202,527178,"possession",352,45,,,"57","43",,,
489202,527742,"possession",352,70,,,"65","35",,,
489202,528054,"possession",352,90,,,"70","30",,,
489203,526876,"possession",352,25,,,"46","54",,,
489203,527221,"possession",352,45,"2",,"52","48",,,
489203,527703,"possession",352,70,,,"48","52",,,
489203,528066,"possession",352,90,"3",,"48","52",,,
489204,528274,"possession",352,25,,,"34","66",,,
489204,528378,"possession",352,45,"4",,"32","68",,,
489204,528499,"possession",352,70,,,"37","63",,,
489204,528610,"possession",352,90,"4",,"38","62",,,
489205,526840,"possession",352,25,,,"58","42",,,
489205,527237,"possession",352,45,,,"53","47",,,
489205,527705,"possession",352,70,,,"55","45",,,
489205,528017,"possession",352,90,"1",,"55","45",,,
489206,525996,"possession",352,24,,,"46","54",,,
489206,526089,"possession",352,44,,,"55","45",,,
489206,526207,"possession",352,70,,,"50","50",,,
489206,526329,"possession",352,90,,,"48","52",,,
489207,526846,"possession",352,24,,,"63","37",,,
489207,527155,"possession",352,44,,,"50","50",,,
489207,527726,"possession",352,70,,,"50","50",,,
489207,527984,"possession",352,87,,,"45","55",,,
489208,529525,"possession",352,27,,,"44","56",,,
489208,529650,"possession",352,45,"1",,"45","55",,,
489208,529864,"possession",352,70,,,"48","52",,,
489208,529944,"possession",352,87,,,"28","72",,,
489209,526861,"possession",352,25,,,"27","73",,,
489209,527175,"possession",352,45,,,"41","59",,,
489209,527811,"possession",352,70,,,"44","56",,,
489209,528085,"possession",352,90,,,"43","57",,,
489210,526856,"possession",352,25,,,"66","34",,,
489210,527219,"possession",352,45,"1",,"60","40",,,
489210,527722,"possession",352,70,,,"60","40",,,
489210,528037,"possession",352,90,"1",,"4","96",,,
489211,530429,"possession",352,25,,,"59","41",,,
489211,530484,"possession",352,44,,,"53","47",,,
489211,530716,"possession",352,70,,,"63","37",,,
489211,530817,"possession",352,90,,,"57","43",,,
489212,551405,"possession",352,23,,,"56","44",,,
489212,551452,"possession",352,32,,,"62","38",,,
489212,551525,"possession",352,42,,,"39","61",,,
489212,551851,"possession",352,72,,,"51","49",,,
489213,537062,"possession",352,25,,,"61","39",,,
489213,537197,"possession",352,45,,,"59","41",,,
489213,537419,"possession",352,69,,,"55","45",,,
489213,537600,"possession",352,90,"1",,"50","50",,,
489214,534708,"possession",352,45,,,"52","48",,,
489214,534852,"possession",352,70,,,"56","44",,,
489214,534933,"possession",352,90,,,"59","41",,,
489215,538295,"possession",352,25,,,"22","78",,,
489215,538322,"possession",352,45,,,"34","66",,,
489215,538419,"possession",352,70,,,"43","57",,,
489215,538441,"possession",352,90,,,"44","56",,,
489216,536785,"possession",352,25,,,"43","57",,,
489216,536857,"possession",352,45,,,"53","47",,,
489216,537067,"possession",352,70,,,"52","48",,,
489216,537223,"possession",352,90,,,"45","55",,,
489217,533831,"possession",352,25,,,"48","52",,,
489217,533979,"possession",352,45,,,"44","56",,,
489217,534256,"possession",352,70,,,"46","54",,,
489217,534414,"possession",352,90,,,"45","55",,,
489218,533991,"possession",352,45,"1",,"55","45",,,
489218,534297,"possession",352,70,,,"53","47",,,
489218,534413,"possession",352,90,,,"53","47",,,
489219,533700,"possession",352,13,,,"63","37",,,
489219,533806,"possession",352,26,,,"58","42",,,
489219,534014,"possession",352,45,"1",,"48","52",,,
489219,534155,"possession",352,61,,,"61","39",,,
489219,534322,"possession",352,82,,,"60","40",,,
489220,536075,"possession",352,17,,,"49","51",,,
489220,536227,"possession",352,45,"1",,"50","50",,,
489220,536422,"possession",352,62,,,"50","50",,,
489220,536523,"possession",352,75,,,"50","50",,,
489221,533800,"possession",352,24,,,"50","50",,,
489221,533964,"possession",352,43,,,"53","47",,,
489221,534257,"possession",352,74,,,"45","55",,,
489221,534456,"possession",352,90,"1",,"49","51",,,
489222,539640,"possession",352,25,,,"66","34",,,
489222,539853,"possession",352,45,,,"70","30",,,
489222,540135,"possession",352,70,,,"67","33",,,
489222,540374,"possession",352,90,,,"67","33",,,
489224,539704,"possession",352,29,,,"57","43",,,
489224,539900,"possession",352,45,"1",,"43","57",,,
489224,540218,"possession",352,71,,,"48","52",,,
489224,540447,"possession",352,90,"1",,"56","44",,,
489225,538712,"possession",352,24,,,"48","52",,,
489225,538884,"possession",352,45,,,"43","57",,,
489225,539158,"possession",352,68,,,"53","47",,,
489225,539335,"possession",352,90,"1",,"50","50",,,
489226,540538,"possession",352,25,,,"50","50",,,
489226,540591,"possession",352,45,,,"56","44",,,
489226,540653,"possession",352,70,,,"50","50",,,
489226,540716,"possession",352,90,,,"45","55",,,
489227,539664,"possession",352,25,,,"46","54",,,
489227,539866,"possession",352,45,,,"43","57",,,
489227,540238,"possession",352,70,,,"49","51",,,
489227,540393,"possession",352,90,,,"54","46",,,
489228,539649,"possession",352,25,,,"50","50",,,
489228,539857,"possession",352,45,,,"55","45",,,
489228,540155,"possession",352,69,,,"54","46",,,
489228,540404,"possession",352,90,,,"56","44",,,
489229,538708,"possession",352,25,,,"51","49",,,
489229,538909,"possession",352,45,"4",,"48","52",,,
489229,539224,"possession",352,75,,,"56","44",,,
489230,538580,"possession",352,25,,,"48","52",,,
489230,538766,"possession",352,45,,,"44","56",,,
489230,539044,"possession",352,70,,,"41","59",,,
489230,539229,"possession",352,90,,,"48","52",,,
489231,539662,"possession",352,25,,,"51","49",,,
489231,539887,"possession",352,45,"2",,"44","56",,,
