match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,goal_type,coordinates,player1,player2,team
840221,1551097,"shot",393,10,,,"n",,"71502","25550",8659
840222,1551068,"shot",80,6,,,"n",,"23934",,8559
840222,1551099,"shot",393,9,,,"n",,"21853","23464",8483
840222,1551199,"shot",393,19,,,"n",,"35345","23464",8483
840222,1551249,"shot",393,24,,,"n",,"24372","23937",8559
840222,1551452,,395,45,,,"n",,"21853","39109",8483
840222,1551605,"header",406,53,,,"n",,"51553","130670",8559
840222,1551730,"shot",393,63,,,"n",,"39109","23464",8483
840223,1556110,"header",406,12,,,"n",,"35411","30628",8654
840223,1556311,"header",406,26,,,"n",,"35411","109897",8654
840223,1556783,"direct_freekick",130,57,,,"n",,"29581",,8528
840223,1556924,"shot",393,68,,,"n",,"77727","22991",8528
840223,1557293,"shot",80,90,"4",,"n",,"29581",,8528
840224,1554417,"volley",411,2,,,"n",,"31306","30853",8455
840224,1554460,,395,10,,,"n",,"33852","24890",10261
840224,1555396,"header",406,83,,,"n",,"26564","30631",8455
840224,1555555,"header",406,90,"3",,"n",,"24228","150613",10261
840225,1564679,"shot",393,21,,,"n",,"30802","27430",10260
840225,1565120,"direct_freekick",130,40,,,"n",,"39109",,8483
840225,1565579,"shot",393,57,,,"n",,"23464","40563",8483
840225,1565706,"shot",393,63,,,"n",,"40961","30802",10260
840225,1565983,,115,74,,,"o",,"35554",,8483
840225,1566143,"shot",393,81,,,"n",,"30619","40961",10260
840226,1565412,"distance",407,49,,,"n",,"40755","46353",8586
840226,1566087,"distance",39,79,,,"n",,"25075",,8658
840226,1566459,"shot",393,90,"3",,"n",,"40755","46353",8586
840227,1564562,"header",406,17,,,"n",,"24116","111930",8472
840227,1565428,"distance",407,51,,,"n",,"33468","24116",8472
840227,1566424,"shot",393,90,"3",,"n",,"31104","156008",8472
840228,1564916,"shot",393,33,,,"n",,"30892","139671",10252
840229,1565951,,289,74,,,"dg",,,,8455
840229,1565974,"shot",80,75,,,"n",,"31989",,8668
840230,1564578,"shot",393,16,,,"n",,"24228","36412",10261
840230,1565108,"volley",411,39,,,"n",,"36412","24225",10261
840230,1565335,,115,47,,,"o",,"26527",,8659
840230,1565674,"shot",393,62,,,"n",,"33790","23922",8659
840230,1565888,"shot",393,72,,,"n",,"33790","26527",8659
840230,1566340,"header",406,90,,,"n",,"33790","26527",8659
840231,1564735,"shot",393,22,,,"n",,"34176","30658",8655
840231,1565077,"distance",39,38,,,"n",,"30842",,8655
840231,1565262,"shot",393,45,"1",,"n",,"113465","34176",8655
840231,1565947,"volley",411,73,,,"n",,"25421","23225",8602
840231,1566277,"shot",393,87,,,"n",,"23225","32627",8602
840232,1564777,"shot",393,26,,,"n",,"23283","24741",9879
840232,1564857,"shot",393,29,,,"n",,"30843","27277",9825
840232,1565550,"header",406,57,,,"n",,"24741","24664",9879
840232,1566329,"shot",393,89,,,"n",,"31013","26005",9825
840233,1565214,"header",406,43,,,"n",,"33086","24159",8456
840233,1565705,"shot",393,62,,,"n",,"15403","23782",8456
840234,1564414,"header",299,11,,,"dg",,"30988",,10194
840234,1566073,"header",406,78,,,"n",,"71550","111865",8528
839844,1156998,"shot",80,24,,,"n",,"46539",,9825
839844,1157415,"header",406,45,,,"n",,"34261","130670",8559
839844,1157857,"header",406,58,,,"n",,"25537","30613",9825
839844,1158235,"shot",393,78,,,"n",,"23678","3520",9825
839844,1158314,"shot",393,83,,,"n",,"75342","30613",9825
839845,1156594,"header",406,2,,,"n",,"30675","30822",8455
839845,1156900,"loose_ball",131,17,,,"n",,"31906",,8455
839845,1158340,"header",406,83,,,"n",,"30675","30856",8455
839845,1158376,"volley",6,85,,,"n",,"24223",,8654
839846,1156203,"shot",393,39,,,"n",,"36012","24006",8668
839846,1156211,"volley",411,43,,,"n",,"24148","40945",10260
839846,1156230,"header",406,47,,,"n",,"30865","40945",10260
839846,1156289,"shot",393,66,,,"n",,"27430","30373",10260
839846,1156400,"header",406,90,"1",,"n",,"30876","24846",8668
839846,1156408,"shot",393,90,"3",,"n",,"24011","39618",8668
839847,1157417,,20,45,,,"p",,"39109",,8483
839847,1158432,"shot",393,90,,,"n",,"21853","39109",8483
839848,1157008,"shot",393,25,,,"n",,"21613","23916",8655
839848,1157823,"shot",393,56,,,"n",,"34942","38817",8456
839849,1156730,"shot",393,10,,,"n",,"33620","23291",8602
839849,1157730,"shot",80,49,,,"n",,"41008",,9879
839849,1158531,"shot",393,90,"1",,"n",,"41008","24020",9879
839851,1157052,"shot",80,27,,,"n",,"31097",,8586
839851,1157322,"header",406,41,,,"n",,"23257","25550",8659
839852,1164127,"header",406,34,,,"n",,"30892","23264",10252
839852,1164491,"header",406,80,,,"n",,"30988","24773",10194
839852,1164572,"shot",393,90,"4",,"n",,"38899","24773",10194
839853,1158137,"shot",393,66,,,"n",,"41980","156008",8472
839853,1158577,"header",406,87,,,"n",,"11736","160713",8528
